Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
                0.00    0.00    1000/2000        seaf_block_manager_block_handle_free [8]
-----------------------------------------------
                0.00    0.00    1000/1000        seaf_repo_index_commit [166]
[17]     0.0    0.00    0.00    1000         diff_entry_free [17]
-----------------------------------------------
                0.00    0.00    1000/1000        wt_status_collect_changes_index [217]
[18]     0.0    0.00    0.00    1000         diff_entry_new [18]
-----------------------------------------------
                0.00    0.00    1000/1000        diff_trees_recursive [88]
[19]     0.0    0.00    0.00    1000         diff_files [19]
                0.00    0.00    1000/1000        seafile_free [29]
                0.00    0.00    1000/1000        seafile_unref [30]
                0.00    0.00     999/999         seaf_fs_manager_get_seafile [38]
                0.00    0.00     999/999         block_list_insert [36]
-----------------------------------------------
                0.00    0.00    1000/1000        commit_trees_cb [118]
[20]     0.0    0.00    0.00    1000         dir_version_from_repo_version [20]
-----------------------------------------------
                0.00    0.00    1000/1000        seafile_write_chunk [31]
[21]     0.0    0.00    0.00    1000         do_write_chunk [21]
                0.00    0.00    1000/1000        seaf_block_manager_block_exists [24]
                0.00    0.00    1000/2000        seaf_block_manager_open_block [10]
                0.00    0.00    1000/1000        seaf_block_manager_write_block [27]
                0.00    0.00    1000/2000        seaf_block_manager_close_block [9]
                0.00    0.00    1000/2000        seaf_block_manager_block_handle_free [8]
                0.00    0.00     999/999         seaf_block_manager_commit_block [37]
-----------------------------------------------
                0.00    0.00    1000/1000        blocktx_decrypt_init [249]
[22]     0.0    0.00    0.00    1000         handle_block_header_content_cb [22]
                0.00    0.00    1000/1001        transfer_next_block [16]
-----------------------------------------------
                0.00    0.00    1000/1000        handle_unmerged_index_entries [92]
[23]     0.0    0.00    0.00    1000         is_path_writable [23]
-----------------------------------------------
                0.00    0.00    1000/1000        do_write_chunk [21]
[24]     0.0    0.00    0.00    1000         seaf_block_manager_block_exists [24]
-----------------------------------------------
                0.00    0.00    1000/1000        send_encrypted_block [33]
[25]     0.0    0.00    0.00    1000         seaf_block_manager_read_block [25]
-----------------------------------------------
                0.00    0.00    1000/1000        send_encrypted_block [33]
[26]     0.0    0.00    0.00    1000         seaf_block_manager_stat_block_by_handle [26]
-----------------------------------------------
                0.00    0.00    1000/1000        do_write_chunk [21]
[27]     0.0    0.00    0.00    1000         seaf_block_manager_write_block [27]
-----------------------------------------------
                0.00    0.00    1000/1000        should_ignore [34]
[28]     0.0    0.00    0.00    1000         seaf_repo_check_ignore_file [28]
-----------------------------------------------
                0.00    0.00    1000/1000        diff_files [19]
[29]     0.0    0.00    0.00    1000         seafile_free [29]
-----------------------------------------------
                0.00    0.00    1000/1000        diff_files [19]
[30]     0.0    0.00    0.00    1000         seafile_unref [30]
-----------------------------------------------
                0.00    0.00    1000/1000        file_chunk_cdc [383]
[31]     0.0    0.00    0.00    1000         seafile_write_chunk [31]
                0.00    0.00    1000/1000        do_write_chunk [21]
-----------------------------------------------
                0.00    0.00    1000/1000        transfer_next_block [16]
[32]     0.0    0.00    0.00    1000         send_block_header [32]
-----------------------------------------------
                0.00    0.00    1000/1000        transfer_next_block [16]
[33]     0.0    0.00    0.00    1000         send_encrypted_block [33]
                0.00    0.00    1000/1000        seaf_block_manager_stat_block_by_handle [26]
                0.00    0.00    1000/1000        seaf_block_manager_read_block [25]
-----------------------------------------------
                0.00    0.00    1000/1000        handle_unmerged_index_entries [92]
[34]     0.0    0.00    0.00    1000         should_ignore [34]
                0.00    0.00    1000/1000        seaf_repo_check_ignore_file [28]
-----------------------------------------------
                0.00    0.00    1000/1000        seaf_fs_manager_index_blocks [2]
[35]     0.0    0.00    0.00    1000         verify_fs_object_json [35]
                0.00    0.00    1000/1002        seaf_obj_store_write_obj [12]
-----------------------------------------------
                0.00    0.00     999/999         diff_files [19]
[36]     0.0    0.00    0.00     999         block_list_insert [36]
-----------------------------------------------
                0.00    0.00     999/999         do_write_chunk [21]
[37]     0.0    0.00    0.00     999         seaf_block_manager_commit_block [37]
-----------------------------------------------
                0.00    0.00     999/999         diff_files [19]
[38]     0.0    0.00    0.00     999         seaf_fs_manager_get_seafile [38]
                0.00    0.00    1000/1421        seaf_obj_store_read_obj [11]
                0.00    0.00     999/999         seafile_from_json [39]
-----------------------------------------------
                0.00    0.00     999/999         seaf_fs_manager_get_seafile [38]
[39]     0.0    0.00    0.00     999         seafile_from_json [39]
                0.00    0.00     999/999         seafile_from_json_object [40]
-----------------------------------------------
                0.00    0.00     999/999         seafile_from_json [39]
[40]     0.0    0.00    0.00     999         seafile_from_json_object [40]
-----------------------------------------------
                0.00    0.00     998/998         diff_trees_recursive [88]
[41]     0.0    0.00    0.00     998         collect_file_ids [41]
-----------------------------------------------
                0.00    0.00     997/997         commit_trees_cb [118]
[42]     0.0    0.00    0.00     997         seaf_dirent_new [42]
-----------------------------------------------
                0.00    0.00       1/894         seaf_transfer_manager_add_upload [178]
                0.00    0.00       1/894         seaf_repo_manager_set_repo_property [171]
                0.00    0.00      70/894         format_transfer_task_detail [66]
                0.00    0.00     411/894         seafile_repo_last_modify [57]
                0.00    0.00     411/894         seafile_get_repo_sync_task [55]
[43]     0.0    0.00    0.00     894         seaf_repo_manager_get_repo [43]
-----------------------------------------------
                0.00    0.00       1/497         seaf_sync_manager_start [177]
                0.00    0.00      85/497         auto_sync_pulse [226]
                0.00    0.00     411/497         seafile_get_repo_list [54]
[44]     0.0    0.00    0.00     497         seaf_repo_manager_get_repo_list [44]
-----------------------------------------------
                0.00    0.00       1/422         wt_status_collect_changes_index [217]
                0.00    0.00       1/422         notify_sync [137]
                0.00    0.00       1/422         load_branch_cb [133]
                0.00    0.00       1/422         seaf_repo_index_commit [166]
                0.00    0.00       1/422         traverse_commit_tree_common [214]
                0.00    0.00       2/422         load_block_list_thread [509]
                0.00    0.00       2/422         has_old_commits_to_upload [93]
                0.00    0.00       2/422         calculate_send_object_list [264]
                0.00    0.00     411/422         seafile_repo_last_modify [57]
[45]     0.0    0.00    0.00     422         seaf_commit_unref [45]
-----------------------------------------------
                0.00    0.00       1/419         seaf_repo_index_commit [166]
                0.00    0.00     418/419         commit_from_json_object [47]
[46]     0.0    0.00    0.00     419         seaf_commit_new [46]
-----------------------------------------------
                0.00    0.00     418/418         load_commit [48]
[47]     0.0    0.00    0.00     418         commit_from_json_object [47]
                0.00    0.00     418/419         seaf_commit_new [46]
-----------------------------------------------
                0.00    0.00       1/418         wt_status_collect_changes_index [217]
                0.00    0.00       1/418         traverse_commit_tree_common [214]
                0.00    0.00       1/418         seaf_commit_manager_get_commit_compatible [147]
                0.00    0.00       2/418         load_block_list_thread [509]
                0.00    0.00       2/418         calculate_send_object_list [264]
                0.00    0.00     411/418         seafile_repo_last_modify [57]
[48]     0.0    0.00    0.00     418         load_commit [48]
                0.00    0.00     418/1421        seaf_obj_store_read_obj [11]
                0.00    0.00     418/418         commit_from_json_object [47]
-----------------------------------------------
                0.00    0.00       1/418         wt_status_collect_changes_index [217]
                0.00    0.00       1/418         traverse_commit_tree_common [214]
                0.00    0.00       1/418         seaf_commit_manager_get_commit_compatible [147]
                0.00    0.00       2/418         load_block_list_thread [509]
                0.00    0.00       2/418         calculate_send_object_list [264]
                0.00    0.00     411/418         seafile_repo_last_modify [57]
[49]     0.0    0.00    0.00     418         seaf_commit_manager_get_commit [49]
-----------------------------------------------
                0.00    0.00     411/411         seafile_get_clone_tasks [53]
[50]     0.0    0.00    0.00     411         seaf_clone_manager_get_tasks [50]
-----------------------------------------------
                0.00    0.00     411/411         seafile_get_repo_sync_task [55]
[51]     0.0    0.00    0.00     411         seaf_sync_manager_get_sync_info [51]
-----------------------------------------------
                0.00    0.00     411/411         marshal_int__void [557]
[52]     0.0    0.00    0.00     411         seaf_sync_manager_is_auto_sync_enabled [52]
-----------------------------------------------
                0.00    0.00     411/411         marshal_objlist__void [581]
[53]     0.0    0.00    0.00     411         seafile_get_clone_tasks [53]
                0.00    0.00     411/411         seaf_clone_manager_get_tasks [50]
-----------------------------------------------
